Player,Teams,Balls,Maidens,Runs,Wickets,Avg,Econ,Strike Rate,5's,10's,Catch Taken,Stummping Made
A Balbirnie,Ireland,0,0,0,0,0,-,-,0,0,1,0
A Bohara,Nepal,46,0,58,1,58,7.56,46,0,0,0,0
A Dutt,Netherlands,42,0,40,3,13.33,5.71,14,0,0,0,1
A Johnson,Canada,0,0,0,0,0,-,-,0,0,2,0
A Nao,Papua New Guinea,78,1,73,4,18.25,5.61,19.5,0,0,0,0
A Nortje,South Africa,210,0,201,15,13.4,5.74,14,0,0,2,0
A Vala,Papua New Guinea,42,1,42,3,14,6,14,0,0,2,0
A Zampa,Australia,168,0,187,13,14.38,6.67,12.9,0,0,2,0
Aaron Jones,USA,0,0,0,0,0,-,-,0,0,0,0
Aasif Sheikh,Nepal,0,0,0,0,0,-,-,0,0,1,0
Abbas Afridi,Pakistan,18,0,31,0,0,10.33,-,0,0,0,0
AC Agar,Australia,48,1,56,1,56,7,48,0,0,1,0
AD Mathews,Sri Lanka,30,0,36,0,0,7.2,-,0,0,0,0
AD Russell,West Indies,121,0,141,11,12.81,6.99,11,0,0,3,0
AGS Gous,USA,0,0,0,0,0,-,-,0,0,1,0
AJ Hosein,West Indies,150,1,141,9,15.66,5.64,16.6,1,0,0,0
AK Markram,South Africa,60,0,69,2,34.5,6.9,30,0,0,8,0
AK Sah,Nepal,0,0,0,0,0,-,-,0,0,2,0
Ali Khan,USA,116,0,181,3,60.33,9.36,38.6,0,0,1,0
Aqib Ilyas,Oman,66,1,76,2,38,6.9,33,0,0,1,0
AR Patel,India,132,1,173,9,19.22,7.86,14.6,0,0,4,0
AR Ramjani,Uganda,66,1,66,4,16.5,6,16.5,0,0,2,0
Arshdeep Singh,India,180,0,215,17,12.64,7.16,10.5,0,0,3,0
AS Joseph,West Indies,147,0,177,13,13.61,7.22,11.3,0,0,3,0
AT Nidamanuru,Netherlands,0,0,0,0,0,-,-,0,0,0,0
AU Rashid,England,168,0,186,10,18.6,6.64,16.8,0,0,0,0
Ayaan Khan,Oman,18,0,32,1,32,10.66,18,0,0,1,0
Azam Khan,Pakistan,0,0,0,0,0,-,-,0,0,0,0
Azmatullah Omarzai,Afghanistan,67,1,104,2,52,9.31,33.5,0,0,1,0
B Masaba,Uganda,72,0,69,5,13.8,5.75,14.4,0,0,2,0
B McMullen,Scotland,0,0,0,0,0,-,-,0,0,2,0
B Shikongo,Namibia,6,0,19,0,0,19,-,0,0,0,0
B White,Ireland,18,0,17,2,8.5,5.66,9,0,0,1,0
BA King,West Indies,0,0,0,0,0,-,-,0,0,1,0
Babar Azam,Pakistan,0,0,0,0,0,-,-,0,0,1,0
BFW de Leede,Netherlands,83,1,119,3,39.66,8.6,27.6,0,0,3,0
Bilal Hassun,Uganda,12,0,34,0,0,17,-,0,0,0,0
Bilal Khan,Oman,73,0,109,4,27.25,8.95,18.2,0,0,0,2
BJ Currie,Scotland,24,0,16,2,8,4,12,0,0,1,0
BJ McCarthy,Ireland,62,1,57,5,11.4,5.51,12.4,0,0,0,0
BKG Mendis,Sri Lanka,0,0,0,0,0,-,-,0,0,0,0
BM Scholtz,Namibia,60,0,64,3,21.33,6.4,20,0,0,0,0
BTJ Wheal,Scotland,70,1,80,5,16,6.85,14,0,0,1,1
C Campher,Ireland,42,0,39,2,19.5,5.57,21,0,0,1,1
C Kyewuta,Uganda,79,0,97,5,19.4,7.36,15.8,0,0,0,0
CA Soper,Papua New Guinea,61,0,65,2,32.5,6.39,30.5,0,0,0,0
CA Young,Ireland,24,0,32,2,16,8,12,0,0,0,0
CB Sole,Scotland,60,0,97,2,48.5,9.7,30,0,0,0,0
CJ Anderson,USA,48,0,69,1,69,8.62,48,0,0,2,0
CJ Jordan,England,83,0,134,10,13.4,9.68,8.3,0,0,2,2
CJA Amini,Papua New Guinea,20,0,21,0,0,6.3,-,0,0,0,0
CN Greaves,Scotland,30,0,30,2,15,6,15,0,0,0,0
D Heyliger,Canada,66,0,55,5,11,5,13.2,0,0,0,0
D Wiese,Namibia,61,0,79,5,15.8,7.77,12.2,0,0,3,0
DA Miller,South Africa,0,0,0,0,0,-,-,0,0,3,0
DA Warner,Australia,0,0,0,0,0,-,-,0,0,4,0
DJ Mitchell,New Zealand,12,0,35,0,0,17.5,-,0,0,4,0
DM de Silva,Sri Lanka,12,0,11,1,11,5.5,12,0,0,0,0
DM Nakrani,Uganda,36,0,57,1,57,9.5,36,0,0,1,0
DP Conway,New Zealand,0,0,0,0,0,-,-,0,0,5,0
DS Airee,Nepal,57,0,49,6,8.16,5.15,9.5,0,0,3,0
DS Bajwa,Canada,0,0,0,0,0,-,-,0,0,0,0
F Achelam,Uganda,0,0,0,0,0,-,-,0,0,1,0
F Nsubuga,Uganda,42,2,33,2,16.5,4.71,21,0,0,0,0
Fakhar Zaman,Pakistan,0,0,0,0,0,-,-,0,0,2,0
Fayyaz Butt,Oman,1,0,4,0,0,24,-,0,0,0,0
Fazalhaq Farooqi,Afghanistan,152,0,160,17,9.41,6.31,8.9,1,0,1,0
FH Allen,New Zealand,0,0,0,0,0,-,-,0,0,1,0
G Motie,West Indies,126,0,149,8,18.62,7.09,15.7,0,0,0,0
GD Phillips,New Zealand,6,0,9,0,0,9,-,0,0,3,0
GH Dockrell,Ireland,0,0,0,0,0,-,-,0,0,2,0
GJ Delany,Ireland,23,0,29,1,29,7.56,23,0,0,1,0
GJ Maxwell,Australia,72,0,103,3,34.33,8.58,24,0,0,7,1
Gulbadin Naib,Afghanistan,54,0,47,7,6.71,5.22,7.7,0,0,5,0
Gulsan Jha,Nepal,12,0,17,0,0,8.5,-,0,0,0,0
H Hiri,Papua New Guinea,0,0,0,0,0,-,-,0,0,0,0
H Klaasen,South Africa,0,0,0,0,0,-,-,0,0,6,0
H Ssenyondo,Uganda,12,0,19,0,0,9.5,-,0,0,0,0
Haris Rauf,Pakistan,90,0,101,7,14.42,6.73,12.8,0,0,1,0
Harmeet Singh,USA,96,0,139,4,34.75,8.68,24,0,0,2,0
Hazratullah Zazai,Afghanistan,0,0,0,0,0,-,-,0,0,0,0
HC Brook,England,0,0,0,0,0,-,-,0,0,7,0
HG Munsey,Scotland,0,0,0,0,0,-,-,0,0,0,0
HH Pandya,India,150,2,191,11,17.36,7.64,13.6,0,0,2,0
HT Tector,Ireland,0,0,0,0,0,-,-,0,0,2,0
Ibrahim Zadran,Afghanistan,0,0,0,0,0,-,-,0,0,2,0
Iftikhar Ahmed,Pakistan,12,0,17,0,0,8.5,-,0,0,1,0
Imad Wasim,Pakistan,66,0,44,3,14.66,4,22,0,0,2,0
IS Sodhi,New Zealand,22,0,29,2,14.5,7.9,11,0,0,0,0
J Charles,West Indies,0,0,0,0,0,-,-,0,0,5,0
J Kariko,Papua New Guinea,66,0,50,1,50,4.54,66,0,0,1,0
J Miyagi,Uganda,56,0,56,2,28,6,28,0,0,0,0
Jaker Ali,Bangladesh,0,0,0,0,0,-,-,0,0,2,0
Jasdeep Singh,USA,72,0,121,1,121,10.08,72,0,0,1,0
JB Little,Ireland,66,0,96,0,0,8.72,-,0,0,2,0
JC Archer,England,158,1,190,10,19,7.21,15.8,0,0,0,0
JC Buttler,England,0,0,0,0,0,-,-,0,0,5,0
JDS Neesham,New Zealand,24,0,27,1,27,6.75,24,0,0,1,0
JJ Bumrah,India,178,2,124,15,8.26,4.17,11.8,0,0,2,0
JJ Smit,Namibia,0,0,0,0,0,-,-,0,0,0,0
JM Bairstow,England,0,0,0,0,0,-,-,0,0,1,0
JN Frylinck,Namibia,0,0,0,0,0,-,-,0,0,1,0
JOA Gordon,Canada,63,0,77,3,25.66,7.33,21,0,0,1,0
JP Kotze,Namibia,0,0,0,0,0,-,-,0,0,0,0
JR Hazlewood,Australia,144,1,145,4,36.25,6.04,36,0,0,4,0
JT Brassell,Namibia,16,0,46,0,0,17.25,-,0,0,0,0
Junaid Siddiqui,Canada,42,0,55,1,55,7.85,42,0,0,1,0
K Bhurtel,Nepal,48,0,41,4,10.25,5.12,12,0,0,0,0
K Doriga,Papua New Guinea,0,0,0,0,0,-,-,0,0,3,0
K Rabada,South Africa,186,2,195,13,15,6.29,14.3,0,0,3,0
K Waiswa,Uganda,0,0,0,0,0,-,-,0,0,0,0
KA Maharaj,South Africa,168,0,175,11,15.9,6.25,15.2,0,0,2,0
Kaleem Sana,Canada,66,0,93,1,93,8.45,66,0,0,0,0
Kaleemullah,Oman,48,0,67,2,33.5,8.37,24,0,0,0,0
Karan KC,Nepal,24,0,26,0,0,6.5,-,0,0,1,0
Karim Janat,Afghanistan,12,0,10,0,0,5,-,0,0,2,0
KH Prajapati,Oman,0,0,0,0,0,-,-,0,0,1,0
Khalid Kail,Oman,0,0,0,0,0,-,-,0,0,1,0
KIC Asalanka,Sri Lanka,0,0,0,0,0,-,-,0,0,4,0
KR Mayers,West Indies,0,0,0,0,0,-,-,0,0,2,0
KS Williamson,New Zealand,0,0,0,0,0,-,-,0,0,1,0
Kuldeep Yadav,India,120,0,139,10,13.9,6.95,12,0,0,2,0
Kushal Malla,Nepal,12,0,17,0,0,8.5,-,0,0,0,0
KV Morea,Papua New Guinea,32,0,34,2,17,6.37,16,0,0,0,4
L Siaka,Papua New Guinea,0,0,0,0,0,-,-,0,0,1,0
LH Ferguson,New Zealand,96,4,64,7,9.14,4,13.7,0,0,2,0
Litton Das,Bangladesh,0,0,0,0,0,-,-,0,0,4,0
LJ Tucker,Ireland,0,0,0,0,0,-,-,0,0,2,0
LS Livingstone,England,66,0,83,3,27.66,7.54,22,0,0,2,0
LV van Beek,Netherlands,92,1,127,7,18.14,8.28,13.1,0,0,5,0
M Jansen,South Africa,187,0,213,7,30.42,6.83,26.7,0,0,4,0
M Levitt,Netherlands,0,0,0,0,0,-,-,0,0,0,0
M Pathirana,Sri Lanka,60,0,51,3,17,5.1,20,0,0,0,0
M Theekshana,Sri Lanka,48,0,53,1,53,6.62,48,0,0,2,0
M van Lingen,Namibia,0,0,0,0,0,-,-,0,0,0,0
MA Jones,Scotland,0,0,0,0,0,-,-,0,0,3,0
MA Leask,Scotland,54,0,76,1,76,8.44,54,0,0,0,0
